,isbn,name,author,publisher,date,cover,place
44,9789866473203,光之逝,喬治.馬汀(George R. R. Martin)著; 宮中桂譯,蓋亞文化,99/01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRd2IGAgqHYY5SEQvfrFV4rxpxeOw9GioxnCg&s,大書櫃上
45,9789868804906,神經喚術士,威廉.吉布森作; 李家沂譯,開元書印,101/02,https://media.anobii.com/covers/01f58e77d826e20689/300/420/2.5/paperback/png/1331193750,大書櫃上
46,9789862620144,記憶之塵: 朱利安戰記,威爾森(Robert Charles Wilson)著; 龐元媛譯,貓頭鷹,99/05,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTghPqBq1GQ_ojFku4F6ytrVa5YLq_95E22DA&s,大書櫃上
47,9789862161272,時光旅人,"馬雷特(Ronald L. Mallett), 韓德森(Bruce Henderson)著; 陳可崗譯",天下遠見,97/05,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwc-KyrIjTEAmVtxrUFgEp79Vv6hhr9bAKFA&s,大書櫃上
48,9789865723392,希特勒回來了,帖木兒.魏穆斯(Timur Vermes)著; 管中琪譯,野人文化,103/06,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUZsxHr0XxZ0nBw2QmoWEUNUgMgzVI-XBCAA&s,大書櫃上
49,9789861771762,曼谷的發條女孩,保羅.巴奇加盧比(Paolo Bacigalupi)著; 王寶翔譯,晨星,100/07,https://cdnec.sanmin.com.tw/product_images/986/986177176.jpg,大書櫃上
50,9789573322870,圖案人,雷.布萊伯利(Ray Bradbury)著; 王瑞徽譯,皇冠,95/12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsChq0gz8osZGWNDzIVx9RBlujbItEZ17svQ&s,大書櫃上
51,9789573323198,十月國度,雷.布萊伯利(Ray Bradbury)著; 林靜華譯,皇冠,96/04,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJoOR0gO6xBrUixGwIQ0sfZU80CX1ABl8ALQ&s,大書櫃上
52,9789573323488,闇夜嘉年華,雷.布萊伯利著; 王瑞徽譯,皇冠,96/09,https://www.crown.com.tw/images/large/005018.jpg,大書櫃上
53,9789573323709,溫柔的謀殺,雷.布萊伯利(Ray Bradbury)著; 王瑞徽譯,皇冠,96/12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWl7zrSEcsxPBna3KmkbBLp9kRmpyC_RqMHQ&s,大書櫃上
54,9789867399199,時間的皺紋,麥德琳.蘭歌(Madeleine L'Engle)著; 黃聿君譯,繆思,94/04,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYyp-V5g5nXn7Xv1vjQGbfpEZjiRFEhWMD-A&s,大書櫃上
55,9789861244488,神秘島,"儒勒.凡爾納(Jules Verne)著; 鄧月明, 郭麗娜譯",商周,94/09,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxcE71D1drUq1XB6z9LJCRJknNpjN7Q9531Q&s,大書櫃上
56,9789570494020,隱身新娘,"儒勒・凡爾納(Jules Verne)原著; 夏蓮,冬苗翻譯",宏文館圖書,89/03,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/091/01/0010910106.jpg&v=61a0b756k&w=375&h=375,大書櫃上
57,9789861333410,碎片之島,華倫.費伊(Warren Fahy)著; 王聰霖譯,圓神,99/10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQkdnpL7OQ3U_N134ZqZ1FSQCvcTkqBaQOtQ&s,大書櫃上
58,9789573322290,華氏451度,雷.布萊伯利(Ray Bradbury)著; 于而彥譯,皇冠,95/04,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBFLmMVP3nOTAau3owm-8uVkoWTjGAFJr97g&s,大書櫃上
59,9789576217470,奔月追緝令,希坎姆(Homer H. Hickam Jr.)著; 吳鴻譯,天下遠見,89/09,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/098/77/0010987735.jpg&v=6622481ek&w=375&h=375,大書櫃上
60,9789863429647,月球城市,安迪.威爾(Andy Weir)著; 翁雅如譯,三采文化,107/03,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXi_4gntesYqNLc7OWO4oTnCw4SRFDFYI-4w&s,大書櫃上
61,9789867261014,戰爭遊戲,Orson Scott Card著; 許文達譯,詠星藝能,94/05,https://s.eslite.com/b2b/newItem/2023/06/26/202306261203561000007181732.jpg,大書櫃上
62,9789866899881,我是傳奇,理察.麥特森(Richard Matheson)著; 陳宗琛譯,春天出版國際,96/12,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/038/53/0010385377.jpg&v=47330192k&w=250&h=250,大書櫃上
63,9789575450205,美麗新世界,赫胥黎著,志文,79/05,https://cdnec.sanmin.com.tw/product_images/957/957545020.jpg,大書櫃上
64,9789574806638,神祕島,儒勒.凡爾納原著; 楊麗編譯,大步文化,91/03,https://s.eslite.com/upload/product/o/2682015925004/20210515064532905608.jpg,大書櫃上
65,9789862131893,時空旅行社,菲利士.帕爾馬(Felix J. Palma)著; 葉淑吟譯,大塊文化,99/07,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG09TawaQKWGN0-OE4-QAcvpPXN34e2vPiQQ&s,大書櫃上
66,9789866535093,探尋者,"傑克.麥戴維(Jack McDevitt)作; 廖愛苓, 歸也光譯",泰電電業,98/01,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/078/39/0010783958.jpg&v=5abf6372k&w=375&h=375,大書櫃上
67,9789866503016,隧道Tunnels,"羅德里克.戈登, 布萊恩.威廉斯著; 肖毛譯",核心文化,98/01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCHyb77IsIbZ2Os5TW6fhFw-nFPwnbLO8GZA&s,大書櫃上
68,9789571344157,凡爾納: 追求進步的夢想家,Jean-Paul Dekiss原著; 馬向陽譯,時報文化,94/12,https://cdnec.sanmin.com.tw/product_images/957/957134415.jpg,大書櫃上
69,9789869452427,銀翼殺手,菲利普.狄克(Philip K. Dick)著; 祈怡瑋譯,寂寞,106/09,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTswMsW4PW33VQ9D_H4EbDgUTCY0z0Rx22wRQ&s,大書櫃上
70,9789861737584,一級玩家,恩斯特.克萊恩(Ernest Cline)著; 郭寶蓮譯,麥田,101/05,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3LnB0TO3xgBTSA636Y_QIK78aMxTTCPiYEA&s,大書櫃上
71,9789867124111,莫羅博士島,赫伯特.喬治.威爾斯(Herbert George Wells)作; 劉沁穎譯,智多星,95/09,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1F3Pdmny6_0MTMX8jcfZNmbjpqbjsmcMEsA&s,大書櫃上
72,9789869931076,"冰凍地球. 首部曲, 寒冬世界= Winter world",傑瑞.李鐸(A.G. Riddle)作; 陳岳辰譯,奇幻基地,110/01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLOsi6ACQRxYJm27Tm4Xzcsvn1_h2_40YNJg&s,大書櫃上
73,9789572845752,"星際大戰. I, 帝國傳承",提摩西.桑(Timothy Zahn)著; 朱學恒譯,奇幻基地,92/04,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTq9CHsiS9Hi7A5UI9niBBW1RtCluA9nSf9Ig&s,西洋套書
74,9789572870549,"星際大戰. 2, 黑潮洶湧",提摩西.桑(Timothy Zahn)著; 朱學恒譯,奇幻基地,92/06,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsggbKTrY1oV61o4pIaHiMgVfdIFoeGxbDxw&s,西洋套書
75,9789867576118,"星際大戰. 3, 最終指令",提摩西.桑(Timothy Zahn)著; 朱學恒譯,奇幻基地,92/12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTdxRiZ-2dOp2-gWubRxF2cPP7JvTCqfHGhA&s,西洋套書
76,9789867576477,"星際大戰. 4, 昔日幽魂",提摩西.桑(Timothy Zahn)著; 段宗忱譯,奇幻基地,93/12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScZyRV__IkDOSWp3Kk5M9gRLmRrwXDHsGsrg&s,西洋套書
77,9789867576590,"星際大戰. 5, 未來之光(上)",提摩西.桑(Timothy Zohn)著; 段宗忱譯,奇幻基地,94/01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKKgAiQxQY02eG6FNuCowea-KtfFXwSSyK6g&s,西洋套書
78,9789867576606,"星際大戰. 5, 未來之光(下)",提摩西.桑(Timothy Zohn)著; 段宗忱譯,奇幻基地,94/01,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/098/28/0010982847.jpg&v=65d098e1k&w=375&h=375,西洋套書
79,9789867386076,探索傳說中的千年寶藏,Budd Hopkins著; 劉偉祥譯,可道書房,93/12,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/088/35/0010883593.jpg&v=6020bb79k&w=375&h=375,大書櫃上
80,9789573245728,大腦的祕密檔案,麗塔.卡特(Rita Carter)著; 洪蘭譯,遠流,91/02,https://down-tw.img.susercontent.com/file/tw-11134207-7r98u-ltazb9tirsuqe7,大書櫃上
81,9789570515503,科學怪人,瑪麗.雪萊(Mary Shelley)著; 菲利浦.繆漢(Philippe Munch)繪; 于而彥譯,臺灣商務,91/01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4iYR0bYI02wU7RxRiGwwJTpOWPbivDiEW3A&s,大書櫃上
82,9789570518023,化身博士,史蒂文生(Robert Louis Stevenson)著; 佛杭蘇瓦.普列士(Francoise Place)繪; 吳鴻譯,臺灣商務,92/08,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfKn9A-cHOwh_KN1n-6LgkfQpkpdD8kiZReQ&s,大書櫃上
83,9789867896247,發條橘子,安東尼.伯吉斯(Anthony Burgess)著; 王之光譯,臉譜,92/03,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEfUxQ9_klMZn9th7TJRt0d2-_1q72BH5frg&s,大書櫃上
84,9789867592095,超時光機器,Herbert Gorge Wells著; 黛恩翻譯,今天,92/11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXSMBQA41ud2IoxH--Qhuiabn6b-QIJrEBAg&s,大書櫃上
85,9789576770647,銀河飛龍:星際情緣,彼德⋅戴維著,星光,81/07,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTd2DEc8gB4yTBKdUKVGSosKs5Hn69J26btGA&s,大書櫃上
86,9789571349138,宇宙盡頭的餐廳,道格拉斯.亞當斯(Douglas Adams)著; 丁世佳譯,時報文化,97/10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ63c7WmAE59-DiyGpFMyjKUdReiMjRcKWQdg&s,大書櫃上
87,9789571349480,生命、宇宙及萬事萬物,道格拉斯.亞當斯(Douglas Adams)著; 莫與爭譯,時報文化,97/11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBAqwRTKLNPCfO7oyTap4pLG9Ezsp3zc6mGA&s,大書櫃上
88,9789577336033,時間機器,H. G. 威爾斯作; 蔡伸章譯,新雨,90/10,https://s.eslite.com/upload/product/o/2611276536001/ec67093.jpg,大書櫃上
89,9789575609849,使女的使事,瑪格麗特.愛特伍(Margaret Atwood)著; 陳小慰譯,天培文化,91/09,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3Dwbjlh9KRVC4QfnY8jHpz4H9lBoU7CzG5w&s,大書櫃上
90,9789867759160,末世男女,"瑪格麗特.愛特伍(Margaret Atwood)著; 韋清琦, 袁霞譯",天培文化,93/08,https://www.chiuko.com.tw/wp-content/uploads/9789867759160_front.jpg,大書櫃上
